ui_texture_detail|Уровень детализации текстур:
ui_faq_text|Q: Что такое активация?\r\nA: Система активации - это понятный пользователям метод защиты лицензионных копий, основанный на распостранении уникальных серийных ключей вместе с копиями. Необходимо единожды активировать игру с помощью уникального серийного ключа на каждом компьютере, на котором предполагается ее использование. После активирования Вам больше не нужно ничего делать чтобы играть, например, не нужно держать диск в приводе. Сохраняя Ваш серийный ключ, Вы сможете легко активиорвать и сыграть в игру даже через многие годы.\r\n\r\nQ: Где мне искать мой серийный ключ?\r\nA: Уникальный серийный ключ содержится в каждой коробке с игрой. Различные распостранители могут по-разному размещать ключи, например налепленными на печатное руководство пользователя или на внутреннее дно коробки ( под диском). Если Вы приобрели игру в интернете, продавец обязан предоставить вам Ваш уникальный серийный ключ.\r\n\r\nQ: Как работает процесс активации?\r\nA: The game creates a hash-value from the specifications of your computer and sends it to an activation server over the internet together with your serial key. The activation server registers the serial key to your computer and responds with an activation number, which then unlocks the full mode of the game.\r\n\r\nQ: Могу ли я активировать игру сразу на нескольких компьютерах?\r\nA: Да, можете. Но помните, что игра лицензирована для Вашего личного использования. Сервер активации может временно отказаться активировать серийный ключ если он используется слишком многими компьютерами за короткий промежуток времени. \r\n\r\nQ: Программа перестает отвечать когда я нажимаю кнопку активации.\r\nA: Иногда проведение процесса активации занимает до 30 секунд. Будьте терпеливы, игра в конечном счете доложит результат.\r\n\r\nQ: У меня нет доступа к Интернету. Как мне активировать игру?\r\nA: В таком случае используйте ручную активацию. Нажмите на "Ввести серийный ключ", а затем "Ручная Активация". Вам все равно понадобится открыть веб-страницу ручной активации с другого       компьютера, подключенного к Интернету.\r\n
ui_auto_adjust|Автоматическая настройка
ui_screen_size|Разрешение экрана:
ui_antialiasing|Исправление искажений изображения:
ui_use_desktop_resolution|Использовать разрешение рабочего стола
ui_play|Играть в Mount&&Blade Эпоха туриниров
ui_check_for_new_version|Проверить наличие новых версий
ui_configure|Настроить
ui_configure_caption|Настроить
ui_mountandblade_website|Веб-сайт Mount & Blade Эпоха турниров
ui_current_setting|           Используемый модуль:
ui_manual_activation_text1|1) Откройте данный адрес в своем интернет-браузере:
ui_manual_activation_text2|2) На открытой интернет-странице введите свой серийный ключ...
ui_manual_activation_text3|3) ...и хардвер-хэш этой машины:
ui_manual_activation_text4|4) Страница выдаст Вам код активации. Введите или вставьте его ниже и нажмите ОК.
ui_activation_code|Код активации:
ui_force_vsync|Обязательная вертикальная синхронизация.
ui_module_newer_than_application| Модуль, который Вы выбрали, был обозначен как НЕ РАБОТАЮЩИЙ на данной версии игры.Вам строго рекомендуется не запускать его.Чтобы исправить это вы можете попытаться проверить наличие новых версий игры.
ui_module_older_than_application| Модуль, который Вы вырбали, был создан для старой версии игры и может не работать на данной версии.Вы можете попытаться запустить его, однако вероятность неудачи довольно велика.Чтобы исправить это вы можете попытаться проверить наличие новых версий игры.
ui_m_low|Низкий
ui_m_high|Высокий
ui_m_ultra_high|Очень высокий
ui_force_single_threading|Принудительное использование только одного процессорного ядра.
ui_not_enough_memory|Похоже на то, что в данный момент Вы располагаете всего лишь %d МБ доступной физической и виртуальной памяти. Mount&Blade Эпохе турниров требуется по меньшей мере 700 MБ доступной памяти чтобы работать без перебоев.Если Mount&Blade Эпоха турниров неоднократно вылетает во время игры, закройте, пожалуйста, некоторые из работающих программ и приложений перед началом игры или увеличьте виртуальную память из Control Panel -> System menu.
ui_install|Установить Mount&Blade Эпоха турниорв
DirectXText|"Mount&Blade Эпохе турниров необходим DirectX 9.0c или выше для работы. Этот компьютер не отвечает вышеуказанному требованию. Для исправления ситуации Вам необходимо загрузить и установить новейшую версию DirectX с веб-сайта Microsoft. Не желаете ли немедленно посетить страницу загрузки DirectX на веб-сайте TaleWorld?s"
NoMountAndBladeText|"Mount&Blade Эпоха турниров не была установлена на этом компьютере. Пожалуйста, загрузите полный установочный файл с www.taleworlds.com и используйте его для установки игры."
ui_SavegamesText|"Желаете ли не удалять Ваши файлы сохранений?"
ui_trialmode_online|Mount&&Blade Эпоха туринров в данный момент работает в режиме демо-версии. В этом режиме Вы можете свободно играть в игру пока Ваш персонаж не достигнет 7-го уровня.Чтобы продолжить играть дальше Вам нужно будет ввести серийный ключ и активировать игру. Если Вы уже купили игру, пожалуйста введите Ваш серийный ключ сейчас.Если же Вы еще не купили игру, ее можно легко приобрести на Taleworlds.com. Покупка лицензионной игры займет у Вас совсем немного времени.
ui_launch_activate|Введите Ваш серийный ключ
ui_trialmode2_online|При покупке лицензии Вы получите Ваш серийный ключ.\nЧтобы открыть режим полноценной игры, перейдитее...
ui_trialmode3_online|Или же, если Вы пока не намерены покупать игру, Вы можете также...
ui_trialmode4_online|Процесс наших онлайн-продаж полностью безопасен и мы очень уважаем права наших покупателей на защиту, личную жизнь, запасные копии их игры и усовершенствование их компьютеров. Если Вы хотите узнать больше о нашей политике продаж, пожалуйста взгляните на:
ui_ondemand_textures|Загрузка текстур по востребованию
ui_language|Язык:
ui_steam_not_running|Не удалось правильно инициализиировать Steam. Steam должен работать для запуска этой игры.
ui_switch_to_turkish_explanation|Oyunun dilini Turkce'ye cevirmek ister misiniz?
ui_switch_to_turkish_yes|Evet
ui_switch_to_turkish_no|Hayir
ui_new_version_message|Доступна более новая версия игры. Желаете ли немедленно посетить страницу загрузки?
ui_enable_version_check|Разрешить проверку версии
ui_disable|Отключить
ui_yes2|Да
ui_no2|Нет
ui_new_version_message2|Доступна более новая версия игры. Пожалуйста посетите онлайн-портал, на котором Вы покупали игру, чтобы загрузить новую версию.
